week_start,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out
02/03/2020,0,0,0,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0,0,0,0,0
16/03/2020,0,1,0,1,0,0,1,0,0,0
23/03/2020,1,1,1,1,1,1,1,0,0,0
30/03/2020,1,1,1,1,1,1,1,0,0,0
06/04/2020,1,1,1,1,1,1,1,0,0,0
13/04/2020,1,1,1,1,1,1,1,0,0,0
20/04/2020,1,1,1,1,1,1,1,0,0,0
27/04/2020,1,1,1,1,1,1,1,0,0,0
04/05/2020,1,1,1,1,1,1,1,0,0,0
11/05/2020,1,1,1,1,0,1,1,0,0,0
18/05/2020,1,1,1,1,0,1,1,0,0,0
25/05/2020,1,1,1,1,0,1,1,0,0,0
01/06/2020,0,1,1,1,0,1,1,0,0,0
08/06/2020,0,1,1,1,0,1,1,0,0,0
15/06/2020,0,1,0,1,0,1,1,0,0,0
22/06/2020,0,1,0,1,0,1,1,0,0,0
29/06/2020,0,1,0,1,0,1,1,0,0,0
06/07/2020,0,0,0,0,0,0,1,0,0,0
13/07/2020,0,0,0,0,0,0,1,0,0,0
20/07/2020,0,0,0,0,0,0,1,0,0,0
27/07/2020,0,0,0,0,0,0,1,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,1
10/08/2020,0,0,0,0,0,0,0,0,0,1
17/08/2020,0,0,0,0,0,0,0,0,0,1
24/08/2020,0,0,0,0,0,0,0,0,0,1
31/08/2020,0,0,0,0,0,0,0,0,0,0
07/09/2020,0,0,0,0,0,0,0,0,0,0
14/09/2020,0,0,0,0,0,0,0,1,0,0
21/09/2020,0,0,0,0,0,0,1,1,1,0
28/09/2020,0,0,0,0,0,0,1,1,1,0
05/10/2020,0,0,0,0,0,0,1,1,1,0
12/10/2020,0,0,0,0,0,1,1,1,1,0
19/10/2020,0,0,0,0,0,1,1,0,1,0
26/10/2020,0,0,0,0,0,1,1,0,1,0
02/11/2020,0,1,1,1,1,1,1,0,1,0
09/11/2020,0,1,1,1,1,1,1,0,0,0
16/11/2020,0,1,1,1,1,1,1,0,0,0
23/11/2020,0,1,1,1,1,1,1,0,0,0
30/11/2020,0,1,1,1,1,1,1,0,1,0
07/12/2020,0,0,0,0,0,1,1,0,1,0
14/12/2020,0,1,1,1,1,1,1,0,1,0
21/12/2020,0,1,1,1,1,1,1,0,0,0
28/12/2020,0,1,1,1,1,1,1,0,0,0
04/01/2021,1,1,1,1,1,1,1,0,0,0
11/01/2021,1,1,1,1,1,1,1,0,0,0
18/01/2021,1,1,1,1,1,1,1,0,0,0
25/01/2021,1,1,1,1,1,1,1,0,0,0
01/02/2021,1,1,1,1,1,1,1,0,0,0
08/02/2021,1,1,1,1,1,1,1,0,0,0
15/02/2021,1,1,1,1,1,1,1,0,0,0
22/02/2021,1,1,1,1,1,1,1,0,0,0
01/03/2021,1,1,1,1,1,1,1,0,0,0
08/03/2021,0,1,1,1,1,1,1,0,0,0
15/03/2021,0,1,1,1,1,1,1,0,0,0
22/03/2021,0,1,1,1,1,1,1,0,0,0
29/03/2021,0,1,1,1,0,1,1,0,0,0
05/04/2021,0,1,1,1,0,1,1,0,0,0
12/04/2021,0,0,0,0,0,1,1,0,0,0
19/04/2021,0,0,0,0,0,1,1,0,0,0
26/04/2021,0,0,0,0,0,1,1,0,0,0
03/05/2021,0,0,0,0,0,1,1,0,0,0
10/05/2021,0,0,0,0,0,1,1,0,0,0
17/05/2021,0,0,0,0,0,0,1,1,0,0
